# qsgw_contract_version 5
# fixed_basis immutable_mf0
# live_update eigenvalues_wfc
# velocity disabled_stage1
# headwing disabled_stage1
# symmetry unsupported_full_bz_only
# hartree disabled_stage1
# band disabled_stage1
# qsgw_input_contract /data/home/df_iopcas_bhj/ai-runs/librpa-qsgw-rebase-gates-20260715T1910-7d69a18c/inputs/si-k444-gate3-common-v3-2342408/dataset/qsgw_input.contract
# qsgw_input_contract_sha256 0dd83763717853fb64960f56354a2d7b7acd9c6759adcdff49dac9936635f110
# qsgw_mixer none
# qsgw_mixing_beta 0.20000000000000001
# iter max_delta_eV residual_l2_Ha residual_max_Ha efermi_eV gap_eV electron_count requested_mode applied_mode beta fallback rcond coefficient_l1 coefficient_count converged coefficients fallback_reason
0 0.00000000000000000e+00 0.00000000000000000e+00 0.00000000000000000e+00 6.97745958234908148e+00 1.08987386594858027e+00 8.00000000000000000e+00 -1 -1 2.00000000000000011e-01 0 1.00000000000000000e+00 0.00000000000000000e+00 0 0 none none
1 4.07599903689835446e+03 1.07501179418084052e+03 1.48237091490081980e+02 6.65890260393418831e+00 4.67515010210877957e+00 8.00000000000000000e+00 -1 -1 2.00000000000000011e-01 0 1.00000000000000000e+00 0.00000000000000000e+00 0 0 none none
2 1.85497555807961533e+02 4.12431029123619766e+01 6.87911159184460530e+00 9.82866571405714673e+00 3.05476719313073408e+00 8.00000000000000000e+00 -1 -1 2.00000000000000011e-01 0 1.00000000000000000e+00 0.00000000000000000e+00 0 0 none none
3 5.41517286878475090e+01 9.93826173237847499e+00 3.54903136445290102e+00 1.01021782586466156e+01 2.76332714805293511e+00 8.00000000000000000e+00 -1 -1 2.00000000000000011e-01 0 1.00000000000000000e+00 0.00000000000000000e+00 0 0 none none
4 6.90928112211438616e+00 1.56170935732566085e+00 2.60885011191476224e-01 1.01807197950137116e+01 2.68542577230987822e+00 8.00000000000000000e+00 -1 -1 2.00000000000000011e-01 0 1.00000000000000000e+00 0.00000000000000000e+00 0 0 none none
5 1.79477189298762574e+00 3.76906975478736028e-01 6.76779489173249260e-02 1.02038176943420940e+01 2.66164496122288297e+00 8.00000000000000000e+00 -1 -1 2.00000000000000011e-01 0 1.00000000000000000e+00 0.00000000000000000e+00 0 0 none none
6 5.03008286723604869e-01 1.10809018696212916e-01 1.89545944760034502e-02 1.02108653082107530e+01 2.65437814776869141e+00 8.00000000000000000e+00 -1 -1 2.00000000000000011e-01 0 1.00000000000000000e+00 0.00000000000000000e+00 0 0 none none
7 1.48609718420077253e-01 3.95113634720611617e-02 1.06096297768637805e-02 1.02130210790348794e+01 2.65214989081356611e+00 8.00000000000000000e+00 -1 -1 2.00000000000000011e-01 0 1.00000000000000000e+00 0.00000000000000000e+00 0 0 none none
8 4.50093393987811424e-02 1.70283543425639068e-02 6.81485130572588669e-03 1.02136800415894555e+01 2.65146921827219417e+00 8.00000000000000000e+00 -1 -1 2.00000000000000011e-01 0 1.00000000000000000e+00 0.00000000000000000e+00 0 0 none none
9 1.37005252258351664e-02 6.22652800768080765e-03 2.69387298892438372e-03 1.02138817757172298e+01 2.65126042511384830e+00 8.00000000000000000e+00 -1 -1 2.00000000000000011e-01 0 1.00000000000000000e+00 0.00000000000000000e+00 0 0 none none
10 4.19298463289294061e-03 2.13819856370964624e-03 9.56096697606327660e-04 1.02139437536911206e+01 2.65119598100894738e+00 8.00000000000000000e+00 -1 -1 2.00000000000000011e-01 0 1.00000000000000000e+00 0.00000000000000000e+00 0 0 none none
