kpoint	raw_unitarity_max_abs	polar_unitarity_max_abs	singular_value_max_abs_deviation	raw_wfc_reconstruction_relative_frobenius	polar_wfc_reconstruction_relative_frobenius	raw_vs_polar_transform_relative_frobenius	raw_vs_polar_velocity_maximum_absolute	raw_vs_polar_velocity_relative_frobenius	raw_vs_reference_velocity_maximum_absolute	raw_vs_reference_velocity_relative_frobenius	polar_vs_reference_velocity_maximum_absolute	polar_vs_reference_velocity_relative_frobenius
0	2.30460095451689995e-12	1.11022302462515654e-15	1.17039711255984002e-12	2.55440242506110685e-16	5.41605576519852410e-13	2.29531288054346637e-13	2.05453432045032969e-11	1.34640816837604456e-13	2.27936794509836886e+02	1.58007467682328007e+00	2.27936794509836659e+02	1.58007467682327762e+00
1	2.22954987805223936e-12	1.11022302462515654e-15	1.97819538527710392e-12	4.11149330692491988e-16	1.21938454607098822e-12	3.91809355318849949e-13	5.87121462558570784e-11	6.73000953745886397e-13	1.44457299710073613e+02	1.52086371098880746e+00	1.44457299710071197e+02	1.52086371098891848e+00
2	6.63491483976486052e-12	1.33226762955018785e-15	3.33555405518382031e-12	3.31758232228429963e-16	2.44094731001601951e-12	6.64142859896535831e-13	1.37724498475255473e-10	1.56967332338266643e-12	1.16458857603501116e+02	1.39501851412421463e+00	1.16458857603501329e+02	1.39501851412463895e+00
3	2.26196839037129394e-12	8.88178419700125232e-16	1.99285032920215599e-12	4.69970438178413321e-16	1.22831764500168544e-12	3.94969982322468060e-13	5.91313664699555375e-11	6.78263598709060494e-13	1.45419696708717765e+02	1.52343124806012375e+00	1.45419696708717112e+02	1.52343124806023833e+00
4	2.27395879903724563e-12	8.88178419700125232e-16	1.99540384215879385e-12	4.96405026761639822e-16	1.22926981790235189e-12	3.95502336598721915e-13	5.90461013416643254e-11	6.78384336863914328e-13	1.46249716376593000e+02	1.49853291936901534e+00	1.46249716376590555e+02	1.49853291936915189e+00
5	3.45834472170736262e-12	8.88178419700125232e-16	1.75937042712348557e-12	2.53289323970604995e-16	9.78449624792731199e-13	3.50070505396268254e-13	1.32942545860714745e-10	8.43434259262900878e-13	7.31666689246080324e+01	1.23160559686714555e+00	7.31666689246192306e+01	1.23160559686744531e+00
6	5.12034858957122196e-12	8.88178419700125232e-16	2.61801691436858164e-12	4.58936366173453160e-16	1.77537378705406574e-12	5.45830100925316691e-13	1.34219779759615141e-10	1.30349456284117680e-12	9.56664374148188017e+01	1.14987057798252468e+00	9.56664374148291898e+01	1.14987057798281866e+00
7	4.69513317113978701e-12	8.88178419700125232e-16	2.62301291797939484e-12	3.22555105179104906e-16	1.77193246925345867e-12	5.34784711417563853e-13	2.32631692914615306e-10	1.24264382796426840e-12	1.72838014840968697e+02	1.49619979781645984e+00	1.72838014840960085e+02	1.49619979781650736e+00
8	6.74260647315350070e-12	1.77635683940025046e-15	3.38939987187814040e-12	3.55080313352088044e-16	2.47977319452661927e-12	6.74735689832910997e-13	1.40062184158566827e-10	1.59534467527500890e-12	9.53028502446559287e+01	1.35772889219804660e+00	9.53028502446870363e+01	1.35772889219849757e+00
9	5.16875431344487879e-12	1.33226762955018785e-15	2.64654964610144816e-12	3.83354537072493821e-16	1.79106974633698133e-12	5.50063530914380756e-13	1.34031413964769347e-10	1.30854250814111727e-12	1.03686800009446316e+02	1.48305848264815276e+00	1.03686800009442692e+02	1.48305848264859619e+00
10	3.68627350866290726e-12	8.88178419700125232e-16	1.87538873319681443e-12	2.22167234410528002e-16	1.48215613826409679e-12	5.17824208323061142e-13	3.25215431495334719e-10	2.08136790390232556e-12	1.75613052938113810e+02	1.53251773047829465e+00	1.75613052938439040e+02	1.53251773047978657e+00
11	5.12789810613867303e-12	1.55431223447521916e-15	2.62423416330648251e-12	3.92487120195989602e-16	1.77839993363919421e-12	5.46607440678566677e-13	1.33308330747344431e-10	1.30155270664353379e-12	1.03361212170766336e+02	1.22677181969885352e+00	1.03361212170762499e+02	1.22677181969907667e+00
12	2.24864571407579206e-12	9.54094284636395181e-16	1.96209715142003915e-12	4.25061771945301090e-16	1.20570346677273742e-12	3.88395325780161088e-13	5.76392267248593271e-11	6.64680620457098033e-13	1.46076880641535354e+02	1.43677168535196720e+00	1.46076880641533165e+02	1.43677168535203803e+00
13	4.70135042007768789e-12	1.55431223447521916e-15	2.62434518560894503e-12	3.33395405446537963e-16	1.77308761862749458e-12	5.35135959544977911e-13	2.33086454764798581e-10	1.24455032638554103e-12	1.72907112179616234e+02	1.49789282837186111e+00	1.72907112179607537e+02	1.49789282837190885e+00
14	5.13722397954552434e-12	8.88178419700125232e-16	2.62700972086804541e-12	3.63479241452501117e-16	1.78096032882923989e-12	5.47367780294863019e-13	1.34023080951511430e-10	1.30522024636968838e-12	9.68711241830178693e+01	1.15047309236418527e+00	9.68711241830276748e+01	1.15047309236447903e+00
15	3.40705241796968039e-12	6.66133814775093924e-16	1.73128178460046911e-12	2.46771244178053516e-16	9.62568734319668143e-13	3.44734857972385736e-13	1.31137767311884090e-10	8.29364671111555595e-13	6.68201458060638345e+01	1.09101138809576681e+00	6.68201458061157751e+01	1.09101138809602061e+00
16	2.27884378034559631e-12	1.22124532708767219e-15	1.99829042202281926e-12	4.81744316995706986e-16	1.22954770963118763e-12	3.95720765265815996e-13	5.84989834351290483e-11	6.78377884619050667e-13	1.40100194264104658e+02	1.49462271367375887e+00	1.40100194264102441e+02	1.49462271367390187e+00
17	3.40238948126625473e-12	1.11022302462515654e-15	1.72761804861920609e-12	2.33715355014664163e-16	9.60185699069516841e-13	3.44103962796840239e-13	1.31009869619447272e-10	8.27592147644396249e-13	5.98854371620055730e+01	1.19331897826693445e+00	5.98854371620503372e+01	1.19331897826722977e+00
18	5.15076870044595125e-12	8.88178419700125232e-16	2.63522537125027156e-12	3.66943624810547846e-16	1.78481377138951243e-12	5.48372317257876278e-13	1.34065825432207424e-10	1.30579640529757109e-12	8.41449564707488662e+01	1.22976868931007677e+00	8.41449564707575064e+01	1.22976868931037786e+00
19	4.68669547615263582e-12	1.33226762955018785e-15	2.61723975825134403e-12	3.51612074191761101e-16	1.76843974846225684e-12	5.33913425542280255e-13	2.32873284618510450e-10	1.24283511474326938e-12	1.35538687059823019e+02	1.33883614709378795e+00	1.35538687059816453e+02	1.33883614709387855e+00
20	3.38418182366240217e-12	1.11022468000183535e-15	1.71895830902712987e-12	2.40771841297998764e-16	9.55767175014551049e-13	3.42638789561922311e-13	1.30370381157263182e-10	8.25192339618082975e-13	5.01982997260684201e+01	1.07240288232267944e+00	5.01982997261082815e+01	1.07240288232290637e+00
21	2.29061214440662297e-12	8.88178419700125232e-16	1.97497573850569097e-12	5.08780054227390069e-16	1.21188469515191500e-12	3.90937052842643901e-13	5.69464475574932294e-11	6.66790294958094656e-13	1.31586420197699510e+02	1.41441790458251915e+00	1.31586420197696185e+02	1.41441790458260241e+00
22	4.72155647912586574e-12	9.46658209986624677e-16	2.63722377269459685e-12	3.15105085889443288e-16	1.78072434185507279e-12	5.37237537368429142e-13	2.33228558089290619e-10	1.24623534062738944e-12	1.49197232774083801e+02	1.37407884590737450e+00	1.49197232774076525e+02	1.37407884590742380e+00
23	5.11701792049734649e-12	1.11022302462515654e-15	2.61823895897350667e-12	4.30754181073184948e-16	1.77555220878478261e-12	5.45988944103450656e-13	1.34074561410572646e-10	1.30403038594320880e-12	8.95632538191277234e+01	1.19302470825777496e+00	8.95632538191375289e+01	1.19302470825808560e+00
24	5.05684383256266301e-12	1.33226762955018824e-15	2.58726373658646480e-12	3.81409967042563597e-16	1.75417918587500575e-12	5.39186223241236091e-13	1.31524494892562853e-10	1.28449968471455678e-12	1.07541231802592691e+02	1.18291794448393284e+00	1.07541231802588257e+02	1.18291794448412135e+00
25	4.70112837547276285e-12	1.35772406709327491e-15	2.62712074317050792e-12	3.47799718153911114e-16	1.77503937390958685e-12	5.35849617867134305e-13	2.33527000271792828e-10	1.24664200314512423e-12	1.71566791770224143e+02	1.53382468959332896e+00	1.71566791770216156e+02	1.53382468959338825e+00
26	5.07371922253696539e-12	1.11022302462515654e-15	2.59636756538839109e-12	3.92500954743766237e-16	1.76047606159756951e-12	5.41316863559929331e-13	1.32675303784257833e-10	1.29190977932302457e-12	9.66821299498141826e+01	1.28425910909622498e+00	9.66821299498242581e+01	1.28425910909682872e+00
27	3.38773453734120267e-12	1.11022302462515654e-15	1.72328817882316798e-12	2.39734136995676142e-16	1.30618805190390299e-12	4.72597587407156293e-13	1.41166189465928459e-10	1.49042722700196222e-12	1.15623350197727405e+02	1.48193451391219533e+00	1.15623350197722914e+02	1.48193451391305109e+00
28	4.73110439713764208e-12	1.11022302462515654e-15	2.64521737847189797e-12	3.66848216011112172e-16	1.78672203347683185e-12	5.39387059201286725e-13	2.34805952678032999e-10	1.25388430955728697e-12	8.87020431548844357e+01	1.19806167978666100e+00	8.87020431548802009e+01	1.19806167978681333e+00
29	5.11679587589242146e-12	1.33226762955018824e-15	2.61557442371440629e-12	3.82423776898341182e-16	1.77607047399525666e-12	5.46460343094475695e-13	1.33594330350986362e-10	1.30345500126653683e-12	7.55359754686180338e+01	1.18405079063970287e+00	7.55359754686250113e+01	1.18405079063990937e+00
30	3.42004202735779472e-12	1.11022302462515654e-15	1.72961645006353137e-12	2.73844880200628073e-16	1.31094935002117087e-12	4.74314841580684709e-13	1.41503711917014320e-10	1.49684885229872500e-12	7.99565647405492541e+01	1.39204544826824517e+00	7.99565647405463693e+01	1.39204544826905097e+00
31	5.06727992899413948e-12	1.77635683940025046e-15	2.58959520493817763e-12	3.35536431421966823e-16	1.75685202666929722e-12	5.40496755064485407e-13	1.31706205921528836e-10	1.28792396468428965e-12	9.25651115181692035e+01	1.23111447913566074e+00	9.25651115181773747e+01	1.23111447913602778e+00
32	6.74926781130125164e-12	8.88178419700125232e-16	3.39328565246432845e-12	4.15293313960080250e-16	2.48339756103780065e-12	6.76074005373191940e-13	1.40730094295729326e-10	1.60336344852817924e-12	1.03292279988776812e+02	1.23769612608777191e+00	1.03292279988777153e+02	1.23769612608799884e+00
33	5.12856423995344812e-12	1.55431223447521916e-15	2.62245780646708226e-12	4.59889569813599705e-16	1.77553782803115578e-12	5.45318255054304816e-13	1.33115253023191554e-10	1.29759325502326751e-12	9.58071139372306249e+01	1.14104810200656503e+00	9.58071139372397909e+01	1.14104810200679729e+00
