kpoint	source_band	reference_band	dominant_amplitude	phase_residual	eigenvalue_difference_ha
0	0	0	9.99999999999998779e-01	2.87770285067954343e-10	-7.47046328686273853e-08
0	1	1	8.24095180846116215e-01	5.93135428299723544e-01	8.62025933967558444e-08
0	2	3	8.39090215597104283e-01	1.18544717690721679e+00	8.62025944514677178e-08
0	3	2	8.15001589123725556e-01	1.02800277797956463e+00	8.62025952563794107e-08
0	4	4	9.98059380011984243e-01	6.22995981885351574e-02	1.22939812163824769e-07
0	5	5	9.62670281675529149e-01	2.73238789063924070e-01	1.22939812496891676e-07
0	6	6	9.63504598623817765e-01	2.70168099468497180e-01	1.22939812274847071e-07
0	7	7	1.00000000000000711e+00	2.15034265127785733e-08	1.34003537599625133e-07
0	8	9	9.71284571167753019e-01	1.23456814561801487e+00	1.98263498729644994e-07
0	9	8	9.71284571167754462e-01	1.23456814561801531e+00	1.98582330024343889e-07
0	10	10	9.99999999999982014e-01	1.08631734313338618e-09	2.49632470250560345e-07
0	11	11	9.48939789328120398e-01	3.19562859021956913e-01	2.99642994083804126e-07
0	12	12	9.16972258065553825e-01	4.07499059008100850e-01	2.99642993639714916e-07
0	13	13	9.42971867252772711e-01	3.37722171260900705e-01	2.99642993417670311e-07
0	14	15	8.50348012656837682e-01	9.73426185537957123e-01	4.19618014113609661e-07
0	15	14	8.50348012656836016e-01	9.73426185537957012e-01	4.20544591150928682e-07
0	16	17	6.75625226094253906e-01	8.66848729501839110e-01	4.48475011793902922e-07
0	17	16	7.80725527845575695e-01	9.41270875371975069e-01	4.48475012237992132e-07
0	18	18	8.75208371875035307e-01	4.99583082095000353e-01	4.48475014902527391e-07
0	19	19	9.99207432892138980e-01	3.98137440499812187e-02	9.32254155205924917e-07
0	20	20	8.63042337804774129e-01	5.23369204591397574e-01	9.32254162755441484e-07
0	21	21	8.63599606973697753e-01	5.22303346702956861e-01	9.32254164531798324e-07
0	22	22	1.00000000000091460e+00	8.78718953466217554e-10	1.24435157911051419e-06
0	23	23	9.90549415697839386e-01	1.37481520947700692e-01	1.65593306977740440e-06
0	24	24	9.88353550691534855e-01	1.52620112089494886e-01	1.65593295697874510e-06
0	25	25	9.97090652105611430e-01	7.62803761661716845e-02	1.65593300760491502e-06
1	0	0	9.99999999999997780e-01	2.17515331451182491e-08	-6.37669431147180887e-08
1	1	1	1.00000000000000022e+00	1.87101341839323374e-08	3.27231246544101850e-08
1	2	2	8.52671807702457984e-01	5.42822608364931902e-01	7.59736596966931188e-08
1	3	3	8.52671807702458207e-01	5.42822608363109249e-01	7.59749914369667323e-08
1	4	4	1.00000000000000155e+00	2.52770423416400112e-08	1.15801574218643566e-07
1	5	5	8.58865795936395449e-01	5.31289382319310444e-01	1.35926669031505298e-07
1	6	6	8.58865795936395338e-01	5.31289382377368113e-01	1.35936751188836524e-07
1	7	7	1.00000000000000666e+00	1.03618875344262902e-08	1.84331341746002408e-07
1	8	9	9.59718827818816234e-01	1.19919787822057411e+00	1.96916530414981139e-07
1	9	8	9.59718827818815234e-01	1.19919787798505073e+00	1.96925941886583189e-07
1	10	10	9.99999999999996336e-01	2.10696294888532073e-08	2.64879851386012888e-07
1	11	11	9.99999999999998890e-01	1.87875395031019501e-08	3.06288443052693538e-07
1	12	13	7.67033731246835493e-01	8.46632415236970304e-01	3.10484053800408333e-07
1	13	12	7.67033731246835715e-01	8.46632415264544802e-01	3.10579815088196654e-07
1	14	15	9.91142686591210742e-01	1.31696525255389441e+00	3.94084399557570464e-07
1	15	14	9.91142686591210631e-01	1.31696525233076045e+00	3.94416285187659810e-07
1	16	16	9.99999999999991007e-01	3.33554094020150100e-08	4.20337459061670415e-07
1	17	18	8.74587297391680063e-01	1.01501912791323590e+00	4.53074651574070231e-07
1	18	17	8.74587297391680618e-01	1.01501912799247740e+00	4.53262476662885661e-07
1	19	19	1.00000000000000577e+00	2.79924287955369051e-08	5.84302879191866964e-07
1	20	20	9.51402423893479732e-01	3.11761370480682365e-01	7.98968339044137110e-07
1	21	21	9.51402423893476956e-01	3.11761370480082955e-01	7.99443308885372517e-07
1	22	23	9.44932880546956233e-01	1.15994466065957225e+00	1.34451269495627912e-06
1	23	22	9.44932880546966780e-01	1.15994466066255408e+00	1.34459676193188216e-06
1	24	24	1.00000000000112466e+00	1.18802550587971342e-08	1.43769931426618314e-06
1	25	25	1.00000000000111600e+00	7.94772644202399772e-09	2.10263060917981193e-06
2	0	0	9.99999999999999445e-01	7.14881897940238076e-09	-4.33355693413295384e-08
2	1	1	9.99999999999998335e-01	3.16733386688463819e-08	-8.22732758656852248e-09
2	2	2	9.72060128426668668e-01	2.36388965561815712e-01	7.01823380244714912e-08
2	3	3	9.72060128426667891e-01	2.36388965561267927e-01	7.01825694504609743e-08
2	4	4	1.00000000000000022e+00	9.87157092386008716e-09	1.07865907261750493e-07
2	5	5	9.02299902574061452e-01	4.42040940796372739e-01	1.36500572400777287e-07
2	6	6	9.02299902574062784e-01	4.42040940805603466e-01	1.36508161330262112e-07
2	7	7	1.00000000000000333e+00	9.27397678578163885e-09	2.33388842474369085e-07
2	8	8	9.38352143560920893e-01	3.51134892535485632e-01	2.40574859144970787e-07
2	9	9	9.38352143560921004e-01	3.51134892546237976e-01	2.40607995416475262e-07
2	10	10	1.00000000000000622e+00	1.45364410390606417e-08	2.44032932639193234e-07
2	11	12	9.67441671638315626e-01	1.22221595302377484e+00	2.64076646883104615e-07
2	12	11	9.67441671638315959e-01	1.22221595305899622e+00	2.64088392487593637e-07
2	13	13	9.99999999999992562e-01	2.54151504630729828e-08	3.53586269707939493e-07
2	14	14	9.99999999999999112e-01	2.46190880547387848e-08	3.80498598406830979e-07
2	15	16	9.54376712376450387e-01	1.18439415456729913e+00	3.95685915588472881e-07
2	16	15	9.54376712376452274e-01	1.18439415454821240e+00	3.95755115345508557e-07
2	17	18	9.87162176297597505e-01	1.29636327783754668e+00	4.49274697889023855e-07
2	18	17	9.87162176297597505e-01	1.29636327783799898e+00	4.49315252559756573e-07
2	19	19	9.99999999999981126e-01	1.01030173508807977e-08	4.85745881073640362e-07
2	20	20	9.71065334744234954e-01	2.40560450844805734e-01	8.37001352227417783e-07
2	21	21	9.71065334744242947e-01	2.40560450844831741e-01	8.37066629344462854e-07
2	22	22	7.38551607235260810e-01	7.23116024827923920e-01	9.85555424826145554e-07
2	23	23	7.38551607235273799e-01	7.23116024827625492e-01	9.85569764466731613e-07
2	24	24	1.00000000000044853e+00	6.57118585053084218e-10	1.39849891533927462e-06
2	25	25	1.00000000000345879e+00	2.50089585379573355e-10	1.99687080471022682e-06
3	0	0	9.99999999999998668e-01	2.17515342728559894e-08	-6.37669421432729422e-08
3	1	1	1.00000000000000111e+00	1.87101437404581826e-08	3.27231245711434582e-08
3	2	2	8.06235701099644375e-01	6.22517949314004393e-01	7.59736609179384459e-08
3	3	3	8.06235701099644819e-01	6.22517949311914953e-01	7.59749912426777030e-08
3	4	4	1.00000000000000067e+00	2.52770457346599909e-08	1.15801575995000405e-07
3	5	6	7.38690526507162493e-01	8.07409764174137567e-01	1.35926670141728323e-07
3	6	5	7.38690526507163048e-01	8.07409764262410401e-01	1.35936748801857021e-07
3	7	7	1.00000000000000644e+00	1.03618839701807012e-08	1.84331343078270038e-07
3	8	8	9.46904158605892721e-01	3.25870653450695436e-01	1.96916531414181861e-07
3	9	9	9.46904158605893831e-01	3.25870653386735265e-01	1.96925940998404769e-07
3	10	10	9.99999999999995226e-01	2.10696223115957187e-08	2.64879852163169005e-07
3	11	11	9.99999999999999445e-01	1.87875761058599275e-08	3.06288444273938865e-07
3	12	13	8.22958856843173381e-01	9.29407362072577126e-01	3.10484051690984586e-07
3	13	12	8.22958856843174047e-01	9.29407362102845580e-01	3.10579814533085141e-07
3	14	15	9.85285897641299480e-01	1.28770003736963834e+00	3.94084399779615069e-07
3	15	14	9.85285897641300368e-01	1.28770003715146419e+00	3.94416285631749020e-07
3	16	16	9.99999999999991229e-01	3.33554063004488137e-08	4.20337461060071860e-07
3	17	17	7.77399174995454856e-01	6.67234328761564743e-01	4.53074654238605490e-07
3	18	18	7.77399174995455411e-01	6.67234328813657629e-01	4.53262475774707241e-07
3	19	19	1.00000000000000533e+00	2.79924371167896874e-08	5.84302876749376310e-07
3	20	20	9.69589038962375582e-01	2.46621008877019293e-01	7.98968313286962939e-07
3	21	21	9.69589038962376470e-01	2.46621008876544701e-01	7.99443301335855949e-07
